"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"8142","NETHERTON BRIDGE OVER GOODIE WATER","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"8130","CRAIGHEAD, FARMHOUSE","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"8131","MRS. THOMSON, HILLVIEW, THORNHILL","B","05/10/1971","STIRLING","KINCARDINE-IN-MENTEITH"
"3920","KEIR HOUSE NORTH LODGE","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"10432","DUNNING HOUSE","B","05/10/1971","STIRLING","GARGUNNOCK"
"10433","TRELAWNEY COTTAGE GLENFOYLE MACNAIR","B","05/10/1971","STIRLING","GARGUNNOCK"
"8243","LANRICK KENNELS","C","06/09/1979","STIRLING","KILMADOCK"
"8235","DEANSTON MILL - DEANSTON COTTAGES 24-34 TEITH ROAD","C","06/09/1979","STIRLING","KILMADOCK"
"8234","DEANSTON MILL - DEANSTON COTTAGES 2-12 TEITH ROAD","C","06/09/1979","STIRLING","KILMADOCK"
"8252","INVERARDOCH, MORTUARY CHAPEL","C","06/09/1979","STIRLING","KILMADOCK"
"8258","BRAENDAM HOUSE","B","05/10/1971","STIRLING","KILMADOCK"
"8250","WATSTON","B","05/10/1971","STIRLING","KILMADOCK"
"10391","TOLL HOUSE","B","05/09/1973","STIRLING","KILLEARN"
"10385","GARGUNNOCK VILLAGE, DRINKING FOUNTAIN","C","22/06/1989","STIRLING","GARGUNNOCK"
"8152","HILLSIDE HOUSE MAIN STREET (SOUTH SIDE)","C","06/09/1979","STIRLING","KIPPEN"
"8228","DEANSTON HOUSE","B","05/10/1971","STIRLING","KILMADOCK"
"8229","DEANSTON LODGE, GATES AND WALL TO B 8032","B","05/10/1971","STIRLING","KILMADOCK"
"8218","DALDORN (""KAMES"" ON MAP), FARMHOUSE","B","05/10/1971","STIRLING","KILMADOCK"
"8180","KIRKHILL MAIN STREET (SOUTH SIDE)","C","06/09/1979","STIRLING","KIPPEN"
"10464","CROFT HOUSE","B","28/10/1976","STIRLING","LOGIE"
"10457","GOGAR HOUSE","B","05/09/1973","STIRLING","LOGIE"
"10467","CULCREUCH CASTLE","A","05/10/1971","STIRLING","FINTRY"
"10426","WEST DRIVE BRIDGE BALLIKINRAIN CASTLE","B","05/09/1973","STIRLING","KILLEARN"
"8175","MRS BUCHANAN MAIN STREET (NORTH SIDE)","C","06/09/1979","STIRLING","KIPPEN"
"3999","WESTER CAMBUSHINNIE, COTTAR HOUSE AND BOTHY","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"8173","MISS RENNIE BACK ROAD","C","06/09/1979","STIRLING","KIPPEN"
"8170","EDINA HOUSE FORE STREET","B","06/09/1979","STIRLING","KIPPEN"
"8160","BRIDGE OVER BOQUHAN BURN","B","08/09/1982","STIRLING","KIPPEN"
"8164","RUIN OF OLD KIRK","B","05/09/1973","STIRLING","KIPPEN"
"8167","GARDEN","B","05/09/1973","STIRLING","KIPPEN"
"48981","DRYMEN, MAIN STREET, FORMER DRYMEN MANSE (ENDRICK HILL)","C","30/10/2002","STIRLING","DRYMEN"
"3911","DRYMEN, MAIN STREET, DRYMEN CHURCH (CHURCH OF SCOTLAND), INCLUDING GATEPIERS AND BOUNDARY WALL","B","05/09/1973","STIRLING","DRYMEN"
"15077","LOWER TARR MILL - FARMHOUSE","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"15337","MUGDOCK, DINEIDDWG, MAIN ENTRANCE GATE PIER AND GATE AT WEST LODGE","B","10/10/1988","STIRLING","STRATHBLANE"
"15307","MUIRMILL BY CARRON BRIDGE","B","19/08/1983","STIRLING","ST NINIAN'S"
"15301","SUNDIAL","B","05/09/1973","STIRLING","ST NINIAN'S"
"19117","CAMBUSBARRON, 19-82 (INCLUSIVE NOS) WOOLCARDER'S COURT, 1-24 (INCLUSIVE NOS) HAYFORD MILLS, 30-39 (INCLUSIVE NOS) HAYFORD MILLS AND FORMER HAYFORD MILLS INCLUDING ENGINE HOUSE, BOILER HOUSE, WEAVING SHED, WILLYING HOUSE AND POND","A","05/09/1989","STIRLING","ST NINIAN'S"
"24654","AUCHENDOUN","B","05/10/1971","STIRLING","DOUNE"
"26390","HIGH STREET, OLD SHERIFF COURT HOUSE","C","28/10/1976","STIRLING","DUNBLANE"
"24699","57 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"19738","CARBETH GUTHRIE HOUSE","B","23/11/1989","STIRLING","STRATHBLANE"
"22626","HENDERSON STREET CHALMERS CHURCH (CHURCH OF SCOTLAND)","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"48957","30-34 (EVEN NOS) HIGH STREET","C","17/10/2002","STIRLING","DUNBLANE"
"26398","22 AND 24 HIGH STREET","C","26/10/1976","STIRLING","DUNBLANE"
"22652","HENDERSON STREET 118-124","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24705","75 MAIN STREET MALT BARNS","B","05/10/1971","STIRLING","DOUNE"
"22596","CHALTON ROAD 1 ZETLAND HOUSE","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22697","ORCHARD HOUSE OFF PULLAR AVENUE.","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22630","HENDERSON STREET 99, 101","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22631","HENDERSON STREET 103 EAGLETON HOTEL","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22678","KENILWORTH ROAD BEACON SCHOOL FOR GIRLS","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22683","KENILWORTH ROAD 12","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22638","HENDERSON STREET 129 OLD MANOR HOTEL","B","05/09/1973","STIRLING","BRIDGE OF ALLAN"
"22639","HENDERSON STREET MUSEUM HALL","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22705","WELL ROAD 3 TANGLIN","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22635","HENDERSON STREET 121 CONEYPARK","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24690","HIGHLAND HOTEL","C","06/09/1979","STIRLING","DOUNE"
"24693","35, 37, 39 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"24694","STRUCTURE AT REAR OF 35 MAIN STREET","B","05/10/1971","STIRLING","DOUNE"
"24687","3, 5, MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"24659","KIRKTONLEA BALKERACH STREET","C","06/09/1979","STIRLING","DOUNE"
"24678","13 GEORGE STREET","B","06/09/1979","STIRLING","DOUNE"
"22619","CHALTON ROAD 30A","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24702","BRAEHEAD HOUSE 69 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"26375","KIRK STREET AND SINCLAIR STREET, SCOTTISH CHURCHES HOUSE, SOUTH TERRACE","C","02/04/1957","STIRLING","DUNBLANE"
"26380","KIRK STREET, VAULTED CHAMBER","B","05/10/1971","STIRLING","DUNBLANE"
"48963","RAMOYLE, RAMOYLE HOUSE","C","17/10/2002","STIRLING","DUNBLANE"
"26405","PERTH ROAD, BURLINGTON HOUSE INCLUDING GATEPIERS AND BOUNDARY WALL","C","28/10/1976","STIRLING","DUNBLANE"
"48950","THE HAUGH, WAR MEMORIAL","C","17/10/2002","STIRLING","DUNBLANE"
"26413","GLEN ROAD, DOOCOT COTTAGE, DOVECOT","B","05/10/1971","STIRLING","DUNBLANE"
"26423","DOUNE ROAD, ALBERT COTTAGE","C","28/10/1976","STIRLING","DUNBLANE"
"22599","15 CHALTON ROAD, ROWANHURST","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"41283","42 ALBERT PLACE AND 1 ROYAL GARDENS","B","03/02/1978","STIRLING","STIRLING"
"41316","HILLFOOTS ROAD 12-18","B","04/11/1965","STIRLING","STIRLING"
"41497","UPPER BRIDGE STREET 42 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41309","GLEBE CRESCENT 3, 5","C","03/02/1978","STIRLING","STIRLING"
"41293","FRIARS STREET 29, 31","C","03/02/1978","STIRLING","STIRLING"
"41109","40 ALBERT PLACE SMITH ART GALLERY AND MUSEUM INCLUDING LAMP STANDARDS","B","04/11/1965","STIRLING","STIRLING"
"41124","ST. NINIAN'S WELL WELLGREEN","B","04/11/1965","STIRLING","STIRLING"
"41156","ABERCROMBY PLACE 7, 9","C","03/02/1978","STIRLING","STIRLING"
"41386","PARK PLACE 19, 21","B","03/02/1978","STIRLING","STIRLING"
"41388","PARK PLACE 31-35 THE SHIELING","C","03/02/1978","STIRLING","STIRLING"
"26368","THE CROSS, CROSS COTTAGE INCLUDING BOUNDARY WALL","C","05/10/1971","STIRLING","DUNBLANE"
"41443","QUEEN STREET 10, 12 (N. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41160","ABERCROMBY PLACE 17, 19","C","03/02/1978","STIRLING","STIRLING"
"41337","KING STREET, 6-10 GOLDEN LION HOTEL","C","03/02/1978","STIRLING","STIRLING"
"41375","NORTH STREET 40 ABBEY INN","C","03/02/1978","STIRLING","STIRLING"
"41173","ALBERT PLACE 6","C","04/11/1965","STIRLING","STIRLING"
"41165","ABERCROMBY PLACE 12","C","03/02/1978","STIRLING","STIRLING"
"41492","UPPER BRIDGE STREET 26 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41324","KING STREET 1 AND 4, 6, 8 PORT STREET","B","03/02/1978","STIRLING","STIRLING"
"41325","KING STREET 3, 5, 7","B","03/02/1978","STIRLING","STIRLING"
"41319","IRVINE PLACE 2","B","03/02/1978","STIRLING","STIRLING"
"41189","ALBERT PLACE 26","B","04/11/1965","STIRLING","STIRLING"
"41180","ALBERT PLACE 13","B","04/11/1965","STIRLING","STIRLING"
"41085","BAPTIST CHURCH 52 MURRAY PLACE","C","03/02/1978","STIRLING","STIRLING"
"41236","26 BERKELEY STREET (ALSO FRONTS WEAVER ROW AND WILLIAMFIELD AVENUE), WILLIAMFIELD","C","03/02/1978","STIRLING","STIRLING"
"41468","ST NINIANS ROAD 13, 15 LANGGARTH","B","04/11/1964","STIRLING","STIRLING"
"41523","VICTORIA SQUARE 4, 6","C","03/02/1978","STIRLING","STIRLING"
"41524","VICTORIA SQUARE 8, 10","C","03/02/1978","STIRLING","STIRLING"
"41334","KING STREET 53, 55, 57, 59","C","03/02/1978","STIRLING","STIRLING"
"41281","32, 34 ALBERT PLACE","C","03/02/1978","STIRLING","STIRLING"
"41091","METHODIST CHURCH 19-1/2 QUEEN STREET","B","04/11/1965","STIRLING","STIRLING"
"41423","PORT STREET 10, 12, 14","B","03/02/1978","STIRLING","STIRLING"
"41438","QUEEN STREET 21 (S. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41275","DRUMMOND PLACE 3, 5","C","03/02/1978","STIRLING","STIRLING"
"41518","VICTORIA SQUARE 9","C","03/02/1978","STIRLING","STIRLING"
"41514","VICTORIA PLACE 34, 35, 36","C","03/02/1978","STIRLING","STIRLING"
"41459","ROYAL GARDENS 2, 3, 4, 5","C","03/02/1978","STIRLING","STIRLING"
"41403","PARK TERRACE, 25, 26 AND 2 DRUMMOND PLACE","B","03/02/1978","STIRLING","STIRLING"
"41405","PARK TERRACE, 29, 30, 31","B","03/02/1978","STIRLING","STIRLING"
"41400","PARK TERRACE, 14-17","B","03/02/1978","STIRLING","STIRLING"
"41350","MELVILLE TERRACE 3 CHILD GUIDANCE CENTRE, STIRLING DISTRICT COUNCIL","B","04/11/1965","STIRLING","STIRLING"
"41344","1, 3 AND 5 KIRK WYND AND 31A AND 31B MAIN STREET, ST NINIANS","C","03/02/1978","STIRLING","STIRLING"
"41152","SPRINGKERSE SPRINGKERSE HOUSE","C","03/02/1978","STIRLING","STIRLING"
"41151","ST THOMAS'  WELL FARMHOUSE","B","28/10/1976","STIRLING","STIRLING"
"41435","QUEEN STREET 11, 13 (S. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41365","MURRAY PLACE 9, 11","B","03/02/1978","STIRLING","STIRLING"
"41368","MURRAY PLACE, 80, 82 NATIONAL COMMERCIAL BANK BUILDINGS.","B","04/11/1965","STIRLING","STIRLING"
"41302","GLADSTONE PLACE 4","C","03/02/1978","STIRLING","STIRLING"
"41486","TORBREX 4 TORBREX VILLAGE","C","03/02/1978","STIRLING","STIRLING"
"7629","CATTER HOUSE, FORMER STABLES","C","08/09/1980","STIRLING","KILMARONOCK"
"41239","16 (PART) AND 18 BOW STREET, ERSKINE OF GOGAR'S HOUSE (COMMONLY KNOWN AS DARNLEY'S HOUSE)","A","04/11/1965","STIRLING","STIRLING"
"41219","24 AND 26 BAKER STREET","C","03/02/1978","STIRLING","STIRLING"
"41205","9 AND 11 BAKER STREET AND SMA' VENNEL","C","03/02/1978","STIRLING","STIRLING"
"41226","3 BANK STREET","C","04/11/1965","STIRLING","STIRLING"
"41210","37, 39A, 39B, 41A AND 41 BAKER STREET","C","03/02/1978","STIRLING","STIRLING"
"41213","49 AND 51 BAKER STREET","B","03/02/1978","STIRLING","STIRLING"
"41483","54 SPITTAL STREET, SPITTAL'S HOSPITAL","B","04/11/1965","STIRLING","STIRLING"
"45374","76 BAKER STREET","C","26/03/1998","STIRLING","STIRLING"
"45376","1 BOW STREET","C","26/03/1998","STIRLING","STIRLING"
"45584","BUCHLYVIE, STATION ROAD, NORTH MANSE WITH GATEPIERS, GATE AND BOUNDARY WALLS","C","10/07/1998","STIRLING","KIPPEN"
"45585","BUCHLYVIE, OFF MAIN STREET, ARIVAIN WITH ANCILLARY STRUCTURES, BOUNDARY WALLS, GATEPIERS AND GATES","C","10/07/1998","STIRLING","KIPPEN"
"51152","CASTLE BURN AQUEDUCT BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","A","18/08/2008","STIRLING","DRYMEN"
"51150","COULIGARTAN AQUEDUCT OVERFLOW OR OUTLET INCORPORATING BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","ABERFOYLE"
"51145","BLAIRQUHOSH BYEWASH (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51141","BALLEWAN BYEWASH 1 (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"8282","KILLIN, KINNELL, LION GATEPIERS ON WEST DRIVE (3RD OF 4 PAIRS)","C","05/10/1971","STIRLING","KILLIN"
"13679","KINNELL, KINNELL HOUSE STEADING","B","05/10/1971","STIRLING","KILLIN"
"50327","KILLIN, JAMES STEWART MEMORIAL INCLUDING RAILINGS","C","04/05/2006","STIRLING","KILLIN"
"50318","CRIANLARICH, CRIANLARICH PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING GATEPIERS AND BOUNDARY WALLS","B","04/05/2006","STIRLING","KILLIN"
"50339","CRAIGRUIE WITH WALLED GARDEN AND OTHER ANCILLARY STRUCTURES","B","04/05/2006","STIRLING","BALQUHIDDER"
"50336","BALQUHIDDER, ARDACHAIDH","C","04/05/2006","STIRLING","BALQUHIDDER"
"4198","EDINAMPLE CASTLE WITH ANCILLARY BUILDING, BOTHY AND GARDEN WALLS","A","05/10/1971","STIRLING","BALQUHIDDER"
"50346","STRATHYRE, CORRIEGOWRIE","C","04/05/2006","STIRLING","BALQUHIDDER"
"4188","STRONVAR HOUSE","B","05/09/1973","STIRLING","BALQUHIDDER"
"50450","AUCHMAR INCLUDING OUTBUILDING, GATES, GATEPIERS AND WING WALLS","B","04/05/2006","STIRLING","BUCHANAN"
"50452","BLAIRVOCKIE FARM INCLUDING HOUSE, CHRISTMAS COTTAGE AND STEADING","B","04/05/2006","STIRLING","BUCHANAN"
"50460","INVERSNAID, GARRISON MEMORIAL STONE","C","04/05/2006","STIRLING","BUCHANAN"
"50463","ROWARDENNAN, ROWARDENNAN YOUTH HOSTEL (FORMERLY ROWARDENNAN LODGE)","C","04/05/2006","STIRLING","BUCHANAN"
"4018","GART HOUSE INCLUDING SUNKEN FORMAL GARDEN AND BOUNDARY WALL TO NW","C","06/09/1979","STIRLING","CALLANDER"
"3983","ARDCHULLARIE MORE INCLUDING LODGE AND MOTOR HOUSE/KENNEL/ BYRE","B","05/10/1971","STIRLING","CALLANDER"
"50400","MILEPOST NEAR TROSSACHS PARISH CHURCH NN 51465 06750","C","04/05/2006","STIRLING","CALLANDER"
"50397","KILMAHOG, BRIDGEND COTTAGE","C","04/05/2006","STIRLING","CALLANDER"
"46364","KILLIN, MAIN STREET, ST FILLAN'S EPISCOPAL CHURCH, INCLUDING GATES, GATEPIERS AND BOUNDARY WALLS","C","13/09/1999","STIRLING","KILLIN"
"8290","TYNDRUM UPPER RAILWAY STATION INCLUDING UNDERPASS AND FORMER SIGNAL BOX","B","19/08/1986","STIRLING","KILLIN"
"22894","5 MAIN STREET, THE OLD BANK (FORMERLY NATIONAL COMMERCIAL BANK)","C","06/09/1979","STIRLING","CALLANDER"
"22891","24 ANCASTER SQUARE","C","06/09/1979","STIRLING","CALLANDER"
"22909","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 AND 12 ESHER CRESCENT, SCOTTISH VETERANS GARDEN SETTLEMENT INCLUDING WAR MEMORIAL TO CENTRE","B","05/10/1971","STIRLING","CALLANDER"
"22893","15, 17 AND 19 MAIN STREET","C","06/09/1979","STIRLING","CALLANDER"
"50389","91 AND 93 MAIN STREET","C","04/05/2006","STIRLING","CALLANDER"
"50392","NORTH CHURCH STREET, SORISDALE COTTAGE","C","04/05/2006","STIRLING","CALLANDER"
"22902","20 SOUTH CHURCH STREET, WATERSIDE HOUSE","B","05/10/1971","STIRLING","CALLANDER"
"22907","ROMAN CAMP HOTEL WALLED GARDEN","C","05/10/1971","STIRLING","CALLANDER"
"15060","GARTMORE HOUSE INCLUDING FORMER STABLE BLOCK, TERRACES, BOUNDARY WALLS AND GATEPIERS","B","05/10/1971","STIRLING","PORT OF MENTEITH"
"4209","ABERFOYLE, MAIN STREET, NOS 1-6 INCLUSIVE CRAIGUCHTY TERRACE INCLUDING OUTHOUSES","B","06/09/1979","STIRLING","ABERFOYLE"
"4172","LOCHEARNHEAD, AUCHRAW TERRACE, WESTER AUCHRAW CROFT","B","22/06/1989","STIRLING","COMRIE"
"50411","GARTMORE, MAIN STREET, THORN COTTAGE INCLUDING OUTHOUSE","C","04/05/2006","STIRLING","PORT OF MENTEITH"
"50405","FINLARICH HOUSE","C","04/05/2006","STIRLING","PORT OF MENTEITH"
"50403","CASTLE REDNOCK FARMHOUSE INCLUDING BOUNDARY WALL TO SOUTH, GATEPIERS AND GATES","C","04/05/2006","STIRLING","PORT OF MENTEITH"
"15061","GARTMORE HOUSE, BURIAL ENCLOSURE","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"50309","THE PASS INCLUDING GATES, GATEPIERS AND WING WALLS","B","04/05/2006","STIRLING","ABERFOYLE"
"50307","MILTON, CORRIENESSAN COACH HOUSE INCLUDING BOUNDARY WALLS, HAND GATE AND COBBLED YARD","C","04/05/2006","STIRLING","ABERFOYLE"
"50290","ABERFOYLE, MAIN STREET AND TROSSACHS ROAD, THE BANK HOUSE, HBOS, TROSSACHS GATE, BASIL'S, LIZ MACGREGOR'S, PHOTOGRAPH SCOTLAND AND THE POST OFFICE","C","04/05/2006","STIRLING","ABERFOYLE"
"4208","ABERFOYLE, ST MARY'S EPISCOPAL CHURCH","C","06/09/1979","STIRLING","ABERFOYLE"
"4212","ABERFOYLE, BREAVAL FARMHOUSE","C","06/09/1979","STIRLING","ABERFOYLE"
"6592","ACHRAY FARM, NEAR BRIDGE OF MICHAEL, LOCH ACHRAY","B","31/03/1993","STIRLING","ABERFOYLE"
"4206","ABERFOYLE, OLD PARISH CHURCH AND BURIAL GROUND INCLUDING BOUNDARY WALLS, GATEPIERS AND GATES","B","05/10/1971","STIRLING","ABERFOYLE"
"4152","COULIGARTAN AQUEDUCT BRIDGE NO 2 (FORMER GLASGOW CORPORATION WATER WORKS)","A","06/09/1979","STIRLING","ABERFOYLE"
"4151","COULIGARTAN AQUEDUCT BRIDGE NO 1 (FORMER GLASGOW CORPORATION WATER WORKS)","A","06/09/1979","STIRLING","ABERFOYLE"
"4148","TEAPOT BRIDGE OVER ALLT TAIRBH","C","06/09/1979","STIRLING","ABERFOYLE"
"4216","MILTON, THE CORN MILL (FORMERLY KNOWN AS MILTON MILL)","C","06/09/1979","STIRLING","ABERFOYLE"
"49667","BALFRON, PRINTERS ROW, ENDRICK COTTAGE","B","09/03/2004","STIRLING","BALFRON"
"6570","FINNICH MALISE, INCLUDING SUMMER HOUSE TO SOUTH","B","05/11/1992","STIRLING","DRYMEN"
"3907","DALNAIR FARMHOUSE","B","05/09/1973","STIRLING","DRYMEN"
"48997","BALLOCHNECK","B","30/10/2002","STIRLING","DRYMEN"
"4205","GAISLAND FARM, FARMHOUSE AND ATTACHED OUTHOUSES","B","09/01/1981","STIRLING","BALFRON"
"4167","BALFRON, THE CLACHAN, CLACHAN HOUSE","C","05/09/1973","STIRLING","BALFRON"
"3902","PARK OF DRUMQUHASSLE, DOVECOT TO NORTH","B","05/09/1973","STIRLING","DRYMEN"
"48976","BRIDGE OVER CARRAT BURN (NEAR SAUGHS COTTAGE)","C","13/11/2002","STIRLING","KINCARDINE-IN-MENTEITH"
"26406","SMITHY LOAN, HOLMEHILL LODGE EAST, INCLUDING GATEPIERS AND BOUNDARY WALL","C","28/10/1976","STIRLING","DUNBLANE"
"26381","1 SINCLAIR STREET","B","05/10/1971","STIRLING","DUNBLANE"
"26384","4 SINCLAIR STREET","C","28/10/1976","STIRLING","DUNBLANE"
"174","LECROPT MANSE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3936","KEIR WEST TERRACE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3943","KEIR HOUSE, ICE HOUSE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3969","KEIR, SUNDIAL","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3995","GATESIDE, OCTAGON","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"3990","QUEEN VICTORIA SCHOOL, DUNBLANE, WALL AND GATES","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"8135","BARN AT REAR OF MENTEITH HOUSE MAIN STREET, THORNHILL","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"3916","KEIR HOUSE, GARDENS HOUSE","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"10431","PARISH CHURCH GARGUNNOCK","B","05/10/1971","STIRLING","GARGUNNOCK"
"10439","STABLES, GARGUNNOCK","B","05/10/1971","STIRLING","GARGUNNOCK"
"3978","KEIR HOUSE WALLED GARDEN SCREEN WALL AND GATEWAY TO N.W.","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"8285","FINLARIG CASTLE","B","05/10/1971","STIRLING","KILLIN"
"8286","BREADALBANE MAUSOLEUM","C","06/09/1979","STIRLING","KILLIN"
"8418","BLAIR DRUMMOND HOUSE - STORE, APPROX. 100 YDS. S.W. OF STABLE BLOCK","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"8246","LANRICK SOUTH (MAIN) LODGE","B","05/10/1971","STIRLING","KILMADOCK"
"8154","MAIN STREET KIPPEN WAR MEMORIAL","C","06/09/1979","STIRLING","KIPPEN"
"8157","PARISH CHURCH BUCHLYVIE","C","06/09/1979","STIRLING","KIPPEN"
"8226","ARGATY STABLES","B","05/10/1971","STIRLING","KILMADOCK"
"8193","GRIBLOCH HOUSE LODGE","B","19/08/1986","STIRLING","KIPPEN"
"8217","EASTER COILLECHAT, OLD BRIDGE OVER COILLECHAT BURN","B","05/10/1971","STIRLING","KILMADOCK"
"8183","BUCHLYVIE, MAIN STREET, MOSSVIEW WITH SHOP","C","22/06/1989","STIRLING","KIPPEN"
"8185","BUCHLYVIE, MAIN STREET, RHUALLAN","C","22/06/1989","STIRLING","KIPPEN"
"8182","BUCHLYVIE, MAIN STREET, MILL COTTAGE","B","23/09/1988","STIRLING","KIPPEN"
"10448","NEW LECKIE HOUSE (OLD PEOPLE'S HOME)","B","05/10/1971","STIRLING","GARGUNNOCK"
"10449","MEIKLEWOOD","B","05/10/1971","STIRLING","GARGUNNOCK"
"10430","WHARRY BRIDGE, KIPPENRAIT GLEN","C","28/10/1976","STIRLING","LOGIE"
"10465","PARISH CHURCH","B","05/10/1971","STIRLING","FINTRY"
"10423","BALLIKINRAIN CASTLE (CHURCH OF SCOTLAND RESIDENTIAL SCHOOL)","B","05/09/1973","STIRLING","KILLEARN"
"8171","FORE STREET STORE (ON S OF COURTYARD TO EDINA HOUSE)","C","06/09/1979","STIRLING","KIPPEN"
"8174","GLEBE HOUSE MAIN STREET","C","06/09/1979","STIRLING","KIPPEN"
"8165","ARNPRIOR FARM","B","05/09/1973","STIRLING","KIPPEN"
"10384","GARGUNNOCK VILLAGE OLD BRIDGE","C","22/06/1989","STIRLING","GARGUNNOCK"
"8140","EAST MOSS-SIDE BRIDGE OVER GOODIE WATER","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"15072","BLAIRHOYLE DOOCOT","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"15316","PARISH CHURCH","B","05/09/1973","STIRLING","STRATHBLANE"
"15333","TOWNHEAD OF AUCHENGILLAN","B","05/09/1973","STIRLING","STRATHBLANE"
"13859","PLEAN TOWER","B","05/09/1973","STIRLING","ST NINIAN'S"
"10395","CARBETH HOUSE","B","05/09/1973","STIRLING","KILLEARN"
"10452","RUIN OF OLD CHURCH AND WATCH HOUSE","B","05/09/1973","STIRLING","LOGIE"
"15057","POLDAR BRIDGE OVER RIVER FORTH AT SOUTH FLANDERS","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"15289","OUR LADY AND ST NINIAN'S RC CHURCH AND PRESBYTERY QUAKERFIELD ROAD, BANNOCKBURN","C","12/06/1979","STIRLING","ST NINIAN'S"
"15304","SUNDIAL","B","05/09/1973","STIRLING","ST NINIAN'S"
"15299","OLD SAUCHIE (TOWER HOUSE) INCLUDING THE GREATHALL, THE CHAMBERS AND 1-5 (INCLUSIVE NOS) THE STABLES  AND THE COTTARS WITH ADJOINING WALLED GARDEN, AND BOUNDARY WALLS","B","05/09/1973","STIRLING","ST NINIAN'S"
"15295","TOUCH HOUSE (MRS BUCHANAN)","A","05/09/1973","STIRLING","ST NINIAN'S"
"24706","4, 6 AND 8 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"22593","ALLANVALE ROAD 27, 29","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24666","CAIRNRYAN (FORMERLY VIOLET BANK) BANK STREET","B","06/09/1979","STIRLING","DOUNE"
"24669","CASTLE FARM","C","06/09/1979","STIRLING","DOUNE"
"24703","71 MAIN STREET","B","05/10/1971","STIRLING","DOUNE"
"24708","28-34 (EVEN) MAIN STREET","B","06/09/1979","STIRLING","DOUNE"
"22608","CHALTON ROAD 39, 41","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22610","CHALTON ROAD 47 DALNAIR","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22634","HENDERSON STREET 113, 117, 119","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22656","KEIR STREET, BRIDGE OF ALLAN PARISH CHURCH (FORMERLY HOLY TRINITY PARISH CHURCH), CHURCH ROOMS, HALL AND BEADLE'S HOUSE","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22659","KEIR STREET 14, 16 HUNTINGDON AND THORN HOUSE","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
